标题,订阅地址,最后更新,分类,类型,国家,语言,来源
CNBC Finance,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=10000664,,金融财经,分类订阅,美国,英文,手动添加
Yahoo Finance,https://finance.yahoo.com/news/rssindex,,金融财经,分类订阅,美国,英文,手动添加
FT中文网,https://www.ftchinese.com/rss/news,,金融财经,分类订阅,英国,中文,手动添加
界面新闻-金融,https://a.jiemian.com/index.php?m=article&a=rss&cid=4,,金融财经,分类订阅,中国,中文,手动添加
CoinDesk,https://www.coindesk.com/arc/outboundfeeds/rss/,,金融财经,分类订阅,美国,英文,手动添加
Investing.com News,https://www.investing.com/rss/news.rss,,金融财经,分类订阅,美国,英文,手动添加
Quartz,https://qz.com/feed,,金融财经,分类订阅,美国,英文,手动添加
The Economist,https://www.economist.com/the-world-this-week/rss.xml,,金融财经,分类订阅,英国,英文,手动添加
WSJ Markets,https://feeds.a.dj.com/rss/RSSMarketsMain.xml,,金融财经,分类订阅,美国,英文,手动添加
The Verge,https://www.theverge.com/rss/index.xml,,全球科技,分类订阅,美国,英文,手动添加
TechCrunch,https://techcrunch.com/feed/,,全球科技,分类订阅,美国,英文,手动添加
Wired,https://www.wired.com/feed/rss,,全球科技,分类订阅,美国,英文,手动添加
Ars Technica,https://feeds.arstechnica.com/arstechnica/index,,全球科技,分类订阅,美国,英文,手动添加
The Next Web,https://thenextweb.com/feed,,全球科技,分类订阅,荷兰,英文,手动添加
Engadget 中国版,https://chinese.engadget.com/rss.xml,,全球科技,分类订阅,美国,中文,手动添加
36氪 36Kr,https://36kr.com/feed,,国内科技,分类订阅,中国,中文,手动添加
Solidot,https://www.solidot.org/index.rss,,国内科技,分类订阅,中国,中文,手动添加
爱范儿 ifanr,https://www.ifanr.com/feed,,国内科技,分类订阅,中国,中文,手动添加
月光博客,https://www.williamlong.info/rss.xml,,国内科技,分类订阅,中国,中文,手动添加
New York Times,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,,国际新闻,分类订阅,美国,英文,手动添加
BBC News,http://feeds.bbci.co.uk/news/rss.xml,,国际新闻,分类订阅,英国,英文,手动添加
NPR News,https://feeds.npr.org/1001/rss.xml,,国际新闻,分类订阅,美国,英文,手动添加
GitHub Blog,https://github.blog/feed/,,编程开发,分类订阅,美国,英文,手动添加
Stack Overflow Blog,https://stackoverflow.blog/feed/,,编程开发,分类订阅,美国,英文,手动添加
Real Python,https://realpython.com/atom.xml,,编程开发,分类订阅,美国,英文,手动添加
Martin Fowler,https://martinfowler.com/feed.atom,,编程开发,分类订阅,美国,英文,手动添加
Netflix TechBlog,https://netflixtechblog.com/feed,,编程开发,分类订阅,美国,英文,手动添加
CSS-Tricks,https://css-tricks.com/feed/,,编程开发,分类订阅,美国,英文,手动添加
Go Blog,https://go.dev/blog/feed.atom,,编程开发,分类订阅,美国,英文,手动添加
Rust Blog,https://blog.rust-lang.org/feed.xml,,编程开发,分类订阅,美国,英文,手动添加
FreeCodeCamp,https://www.freecodecamp.org/news/rss/,,编程开发,分类订阅,美国,英文,手动添加
